site_name,resolution,scalar,cells,particles,run_n,run_time
SJER,1,0.25,141182,35295.5,0,30.454983711242676
SJER,1,0.25,141182,35295.5,1,31.845914840698242
SJER,1,0.25,141182,35295.5,2,34.24690866470337
SJER,1,0.25,141182,35295.5,3,33.35137701034546
SJER,1,0.25,141182,35295.5,4,33.828906536102295
SJER,1,0.25,141182,35295.5,5,30.63893699645996
SJER,1,0.25,141182,35295.5,6,30.502687454223633
SJER,1,0.25,141182,35295.5,7,34.380282402038574
SJER,1,0.25,141182,35295.5,8,33.88564467430115
SJER,1,0.25,141182,35295.5,9,33.71979594230652
SJER,1,0.5,141182,70591.0,0,26.683858394622803
SJER,1,0.5,141182,70591.0,1,26.36752486228943
SJER,1,0.5,141182,70591.0,2,27.996174335479736
SJER,1,0.5,141182,70591.0,3,32.3939745426178
SJER,1,0.5,141182,70591.0,4,31.939135789871216
SJER,1,0.5,141182,70591.0,5,30.44888687133789
SJER,1,0.5,141182,70591.0,6,29.717337369918823
SJER,1,0.5,141182,70591.0,7,32.29966187477112
SJER,1,0.5,141182,70591.0,8,26.843242168426514
SJER,1,0.5,141182,70591.0,9,34.538013219833374
SJER,1,1,141182,141182,0,63.54899287223816
SJER,1,1,141182,141182,1,57.906601905822754
SJER,1,1,141182,141182,2,70.83162260055542
SJER,1,1,141182,141182,3,62.34724426269531
SJER,1,1,141182,141182,4,63.478330850601196
SJER,1,1,141182,141182,5,63.831756591796875
SJER,1,1,141182,141182,6,50.178468227386475
SJER,1,1,141182,141182,7,68.0816969871521
SJER,1,1,141182,141182,8,62.14287304878235
SJER,1,1,141182,141182,9,50.8143470287323
SJER,1,2,141182,282364,0,93.7143406867981
SJER,1,2,141182,282364,1,95.35782146453857
SJER,1,2,141182,282364,2,94.26705646514893
SJER,1,2,141182,282364,3,98.23350596427917
SJER,1,2,141182,282364,4,94.50603795051575
SJER,1,2,141182,282364,5,89.3283007144928
SJER,1,2,141182,282364,6,90.7680094242096
SJER,1,2,141182,282364,7,98.38502597808838
SJER,1,2,141182,282364,8,89.48990178108215
SJER,1,2,141182,282364,9,88.54202198982239
SJER,3,0.25,32621,8155.25,0,2.164653778076172
SJER,3,0.25,32621,8155.25,1,2.059610366821289
SJER,3,0.25,32621,8155.25,2,1.5930225849151611
SJER,3,0.25,32621,8155.25,3,1.5718340873718262
SJER,3,0.25,32621,8155.25,4,1.6593806743621826
SJER,3,0.25,32621,8155.25,5,1.649543285369873
SJER,3,0.25,32621,8155.25,6,2.125960350036621
SJER,3,0.25,32621,8155.25,7,2.190793514251709
SJER,3,0.25,32621,8155.25,8,2.3009276390075684
SJER,3,0.25,32621,8155.25,9,2.2353365421295166
SJER,3,0.5,32621,16310.5,0,2.175629138946533
SJER,3,0.5,32621,16310.5,1,1.5809955596923828
SJER,3,0.5,32621,16310.5,2,1.598848581314087
SJER,3,0.5,32621,16310.5,3,1.7454321384429932
SJER,3,0.5,32621,16310.5,4,2.174992084503174
SJER,3,0.5,32621,16310.5,5,1.8440442085266113
SJER,3,0.5,32621,16310.5,6,2.170072555541992
SJER,3,0.5,32621,16310.5,7,2.201822519302368
SJER,3,0.5,32621,16310.5,8,1.6341438293457031
SJER,3,0.5,32621,16310.5,9,1.6034114360809326
SJER,3,1,32621,32621,0,2.8229973316192627
SJER,3,1,32621,32621,1,2.8150200843811035
SJER,3,1,32621,32621,2,3.9927287101745605
SJER,3,1,32621,32621,3,3.1942098140716553
SJER,3,1,32621,32621,4,2.9959914684295654
SJER,3,1,32621,32621,5,2.875305652618408
SJER,3,1,32621,32621,6,3.891474723815918
SJER,3,1,32621,32621,7,3.876744508743286
SJER,3,1,32621,32621,8,2.9140632152557373
SJER,3,1,32621,32621,9,4.2837982177734375
SJER,3,2,32621,65242,0,5.429668664932251
SJER,3,2,32621,65242,1,5.841974258422852
SJER,3,2,32621,65242,2,6.1590399742126465
