,n,null_cells,cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,first_quartile,median,third_quartile,percentiles,run_time,particles,area_km2,resolution,scalar,minute,stat_type,ars,Location
5,201570,267399,468969,0.0007474965532310307,0.7452592849731445,0.7445117884199135,0.02860518045800488,0.02860518045800488,0.0783978581904662,0.006146224168852448,274.0687418684937,5765.946224920044,0.0053200130350887775,0.008336164988577366,0.013845422305166721,"[{'percentile': 90, 'value': 0.039697371423244476}]",102.99852197170257,50397.25,0.201589,1,025,060,maximum,0.11383327863841743,clay-center
6,201570,267399,468969,0.0007474965532310307,0.8023916482925415,0.8016441517393105,0.0299200255011641,0.0299200255011641,0.08315377660334797,0.006914550563399499,277.92013947351984,6030.979540269647,0.005400418769568205,0.008336164988577366,0.013930669054389,"[{'percentile': 90, 'value': 0.04089169576764107}]",102.99852197170257,50397.25,0.201589,1,025,070,maximum,0.11383327863841743,clay-center
7,201570,267399,468969,0.0007474965532310307,0.8502910733222961,0.8495435767690651,0.0309019405158205,0.0309019405158205,0.08683926820039432,0.007541058501580018,281.0155826814056,6228.904149773938,0.005400418769568205,0.008395923301577568,0.013973161578178406,"[{'percentile': 90, 'value': 0.041961316019296646}]",102.99852197170257,50397.25,0.201589,1,025,080,maximum,0.11383327863841743,clay-center
8,201570,267399,468969,0.0007474965532310307,0.8843106031417847,0.8835631065885536,0.031576689841941744,0.031576689841941744,0.0894323019234199,0.007998136627321736,283.2225365327287,6364.913371440198,0.005400418769568205,0.008395923301577568,0.014015569351613522,"[{'percentile': 90, 'value': 0.04246912896633148}]",102.99852197170257,50397.25,0.201589,1,025,090,maximum,0.11383327863841743,clay-center
9,201570,267399,468969,0.0007474965532310307,0.9066198468208313,0.9058723502676003,0.0319967326618512,0.0319967326618512,0.09107901985325209,0.008295387857429089,284.65100113751,6449.581402649346,0.005400418769568205,0.008395923301577568,0.014057891443371773,"[{'percentile': 90, 'value': 0.04293276369571686}]",102.99852197170257,50397.25,0.201589,1,025,100,maximum,0.11383327863841743,clay-center
10,201570,267399,468969,0.0007474965532310307,0.9194234013557434,0.9186759048025124,0.03223740713696556,0.03223740713696556,0.09202818162835517,0.00846918621382153,285.47017208102176,6498.094156598148,0.005400418769568205,0.008395923301577568,0.014057891443371773,"[{'percentile': 90, 'value': 0.04311328008770943}]",102.99852197170257,50397.25,0.201589,1,025,110,maximum,0.11383327863841743,clay-center
11,201570,267399,468969,0.0007474965532310307,0.9262227416038513,0.9254752450506203,0.03236718180560426,0.03236718180560426,0.09254481725460245,0.008564543200687762,285.9217642438634,6524.25283655565,0.005400418769568205,0.008395923301577568,0.014057891443371773,"[{'percentile': 90, 'value': 0.04317334294319153}]",102.99852197170257,50397.25,0.201589,1,025,120,maximum,0.11383327863841743,clay-center
0,201570,267399,468969,9.497034924650759e-05,0.0059985751004051815,0.005903604751158674,0.0006468602954732881,0.0006468602954732881,0.00025526596873104657,6.516071479219964e-08,39.4623028368554,130.38762975855067,0.0004843299972112765,0.0006041243842469085,0.0007532739150189478,"[{'percentile': 90, 'value': 0.0009299112222534941}]",102.99852197170257,50397.25,0.201589,1,025,010,stddev,0.11383327863841743,clay-center
1,201570,267399,468969,9.497034924650759e-05,0.00594368148540603,0.005848711136159522,0.0006599858557726158,0.0006599858557726158,0.0002680620229914534,7.185724817027052e-08,40.616328463228236,133.03334894808617,0.0004893007769083734,0.0006126771329869438,0.000767320146953442,"[{'percentile': 90, 'value': 0.0009580938621476725}]",102.99852197170257,50397.25,0.201589,1,025,020,stddev,0.11383327863841743,clay-center
2,201570,267399,468969,9.497034924650759e-05,0.005994084261129585,0.005899113911883078,0.000667772240259804,0.000667772240259804,0.0002758622470922357,7.60999793707777e-08,41.310828821651604,134.6028504691687,0.0004924306040516126,0.0006176741662391784,0.0007758524728691624,"[{'percentile': 90, 'value': 0.0009753810834968124}]",102.99852197170257,50397.25,0.201589,1,025,030,stddev,0.11383327863841743,clay-center
3,201570,267399,468969,9.497034924650759e-05,0.0059302941874315755,0.005835323838185068,0.0006729504033470477,0.0006729504033470477,0.00028177654973188753,7.939802397880688e-08,41.871815267576615,135.6466128026644,0.0004939371329907928,0.0006206787398826316,0.0007815765315190268,"[{'percentile': 90, 'value': 0.0009894031773273082}]",102.99852197170257,50397.25,0.201589,1,025,040,stddev,0.11383327863841743,clay-center
4,201570,267399,468969,9.497034924650759e-05,0.005837934473400255,0.005742964124153748,0.000676465641030788,0.000676465641030788,0.0002856784313409745,8.161216613343986e-08,42.231033479492325,136.35517926257594,0.00049499075005743,0.0006225943713236636,0.0007858900329127593,"[{'percentile': 90, 'value': 0.000997409925486958}]",102.99852197170257,50397.25,0.201589,1,025,050,stddev,0.11383327863841743,clay-center
5,201570,267399,468969,9.497034924650759e-05,0.00593729873316059,0.005842328383914083,0.0006788479193739854,0.0006788479193739854,0.0002880265977728828,8.295932102462203e-08,42.42873691628796,136.83537510821424,0.0004958430816604796,0.0006238827777089703,0.0007888028113082623,"[{'percentile': 90, 'value': 0.0010041850072717107}]",102.99852197170257,50397.25,0.201589,1,025,060,stddev,0.11383327863841743,clay-center
6,201570,267399,468969,9.497034924650759e-05,0.006183745503992465,0.006088775154745958,0.000680413118397763,0.000680413118397763,0.0002902445378890201,8.424189177441081e-08,42.65710493243987,137.15087227543708,0.000496260229618079,0.0006244988204733319,0.0007901458892899415,"[{'percentile': 90, 'value': 0.001008234038689665}]",102.99852197170257,50397.25,0.201589,1,025,070,stddev,0.11383327863841743,clay-center
7,201570,267399,468969,9.497034924650759e-05,0.006250581054933109,0.006155610705686602,0.0006811740789175315,0.0006811740789175315,0.00029092254010994797,8.463592434402428e-08,42.70898572245428,137.30425908740682,0.0004963789187878406,0.0006250247819313731,0.0007913411031411523,"[{'percentile': 90, 'value': 0.0010112558507446013}]",102.99852197170257,50397.25,0.201589,1,025,080,stddev,0.11383327863841743,clay-center
8,201570,267399,468969,9.497034924650759e-05,0.006472077060348005,0.006377106711101498,0.0006817670097353473,0.0006817670097353473,0.0002915219877994273,8.498506937052944e-08,42.759767433245585,137.42377615235395,0.0004965796561790777,0.0006254323057769361,0.0007920794385208153,"[{'percentile': 90, 'value': 0.0010131791165192004}]",102.99852197170257,50397.25,0.201589,1,025,090,stddev,0.11383327863841743,clay-center
9,201570,267399,468969,9.497034924650759e-05,0.006385691657807754,0.006290721308561247,0.0006821201705274963,0.0006821201705274963,0.0002919866895909077,8.525622689825707e-08,42.805755086396125,137.49496277322743,0.0004966273230788077,0.0006255502107503645,0.0007922756937371307,"[{'percentile': 90, 'value': 0.0010141589504896384}]",102.99852197170257,50397.25,0.201589,1,025,100,stddev,0.11383327863841743,clay-center
10,201570,267399,468969,9.497034924650759e-05,0.006250392659258161,0.006155422310011653,0.0006824481059908676,0.0006824481059908676,0.0002921690721806473,8.53627667389003e-08,42.8119104758065,137.56106472457918,0.0004966838315437942,0.0006258838533759078,0.000792825091895146,"[{'percentile': 90, 'value': 0.0010151471817734388}]",102.99852197170257,50397.25,0.201589,1,025,110,stddev,0.11383327863841743,clay-center
11,201570,267399,468969,9.497034924650759e-05,0.006258091601882812,0.006163121252636305,0.0006825303257066875,0.0006825303257066875,0.0002923074363114683,8.54436373229831e-08,42.82702545250499,137.577637752697,0.0004967217656342644,0.0006258317680773453,0.0007928851379019647,"[{'percentile': 90, 'value': 0.0010152625805015189}]",102.99852197170257,50397.25,0.201589,1,025,120,stddev,0.11383327863841743,clay-center
0,201570,267399,468969,0.0002991796936839819,0.01841697096824646,0.018117791274562478,0.0021543380676240682,0.0021543380676240682,0.0008846993586128534,7.82692955129994e-07,41.065948372186185,434.2499242909835,0.0015814588405191898,0.00200754776597023,0.0025292509235441685,"[{'percentile': 90, 'value': 0.0031482900958508253}]",102.99852197170257,50397.25,0.201589,1,025,010,range,0.11383327863841743,clay-center
1,201570,267399,468969,0.0002991796936839819,0.02029573917388916,0.019996559480205178,0.002198209417334789,0.002198209417334789,0.0009273839647591005,8.600410180923084e-07,42.18815356925837,443.09307225217344,0.0016021095216274261,0.0020311030093580484,0.002575670601800084,"[{'percentile': 90, 'value': 0.0032435255125164986}]",102.99852197170257,50397.25,0.201589,1,025,020,range,0.11383327863841743,clay-center
2,201570,267399,468969,0.0002991796936839819,0.020830288529396057,0.020531108835712075,0.0022237607753744274,0.0022237607753744274,0.0009521203077757076,9.065330804789081e-07,42.815770397577666,448.24345949222334,0.0016136113554239273,0.002047724323347211,0.0026068801525980234,"[{'percentile': 90, 'value': 0.0032967329025268555}]",102.99852197170257,50397.25,0.201589,1,025,030,range,0.11383327863841743,clay-center
3,201570,267399,468969,0.0002991796936839819,0.020817235112190247,0.020518055418506265,0.0022414635002165864,0.0022414635002165864,0.0009712145246371693,9.432576528662026e-07,43.32948203454232,451.81179773865733,0.0016198675148189068,0.002060418948531151,0.0026273727416992188,"[{'percentile': 90, 'value': 0.0033426880836486816}]",102.99852197170257,50397.25,0.201589,1,025,040,range,0.11383327863841743,clay-center
4,201570,267399,468969,0.0002991796936839819,0.020593225955963135,0.020294046262279153,0.002253133599617593,0.002253133599617593,0.000983739356574644,9.677431216738944e-07,43.66094210931861,454.16413967491826,0.0016259546391665936,0.002066107001155615,0.0026406869292259216,"[{'percentile': 90, 'value': 0.0033708587288856506}]",102.99852197170257,50397.25,0.201589,1,025,050,range,0.11383327863841743,clay-center
5,201570,267399,468969,0.0002991796936839819,0.020685136318206787,0.020385956624522805,0.002261146693389087,0.002261146693389087,0.0009919747183589102,9.840138418632394e-07,43.87042739239988,455.77933898643823,0.0016261367127299309,0.0020705510396510363,0.0026486366987228394,"[{'percentile': 90, 'value': 0.0033876316156238317}]",102.99852197170257,50397.25,0.201589,1,025,060,range,0.11383327863841743,clay-center
