site_name,resolution,scalar,cells,particles,run_n,run_time
clay-center,1,0.25,201589,50397.25,0,101.65646028518677
clay-center,1,0.25,201589,50397.25,1,103.05328392982483
clay-center,1,0.25,201589,50397.25,2,103.3997848033905
clay-center,1,0.25,201589,50397.25,3,103.03342175483704
clay-center,1,0.25,201589,50397.25,4,103.14185404777527
clay-center,1,0.25,201589,50397.25,5,103.18204116821289
clay-center,1,0.25,201589,50397.25,6,103.19863748550415
clay-center,1,0.25,201589,50397.25,7,103.47313213348389
clay-center,1,0.25,201589,50397.25,8,102.8832573890686
clay-center,1,0.25,201589,50397.25,9,102.96334671974182
clay-center,1,0.5,201589,100794.5,0,103.21816754341125
clay-center,1,0.5,201589,100794.5,1,103.0851981639862
clay-center,1,0.5,201589,100794.5,2,102.98411059379578
clay-center,1,0.5,201589,100794.5,3,103.27548408508301
clay-center,1,0.5,201589,100794.5,4,103.10573101043701
clay-center,1,0.5,201589,100794.5,5,102.35749435424805
clay-center,1,0.5,201589,100794.5,6,102.13100600242615
clay-center,1,0.5,201589,100794.5,7,103.9951376914978
clay-center,1,0.5,201589,100794.5,8,102.94910645484924
clay-center,1,0.5,201589,100794.5,9,103.8615448474884
clay-center,1,1,201589,201589,0,204.8758828639984
clay-center,1,1,201589,201589,1,199.83849668502808
clay-center,1,1,201589,201589,2,208.23530554771423
clay-center,1,1,201589,201589,3,205.65694665908813
clay-center,1,1,201589,201589,4,204.63106989860535
clay-center,1,1,201589,201589,5,204.2997763156891
clay-center,1,1,201589,201589,6,204.59287190437317
clay-center,1,1,201589,201589,7,201.71135210990906
clay-center,1,1,201589,201589,8,204.98422241210938
clay-center,1,1,201589,201589,9,204.36988639831543
clay-center,1,2,201589,403178,0,306.41515135765076
clay-center,1,2,201589,403178,1,306.7227964401245
clay-center,1,2,201589,403178,2,306.9335882663727
clay-center,1,2,201589,403178,3,305.0860149860382
clay-center,1,2,201589,403178,4,307.2850275039673
clay-center,1,2,201589,403178,5,305.6360692977905
clay-center,1,2,201589,403178,6,305.8092460632324
clay-center,1,2,201589,403178,7,306.3401246070862
clay-center,1,2,201589,403178,8,306.88231778144836
clay-center,1,2,201589,403178,9,304.5645351409912
clay-center,3,0.25,54210,13552.5,0,17.265010833740234
clay-center,3,0.25,54210,13552.5,1,17.254815101623535
clay-center,3,0.25,54210,13552.5,2,17.421719074249268
clay-center,3,0.25,54210,13552.5,3,17.2628231048584
clay-center,3,0.25,54210,13552.5,4,17.302303075790405
clay-center,3,0.25,54210,13552.5,5,17.15262532234192
clay-center,3,0.25,54210,13552.5,6,16.730361461639404
clay-center,3,0.25,54210,13552.5,7,17.316540002822876
clay-center,3,0.25,54210,13552.5,8,16.853471994400024
clay-center,3,0.25,54210,13552.5,9,16.14847707748413
clay-center,3,0.5,54210,27105.0,0,16.831133127212524
clay-center,3,0.5,54210,27105.0,1,17.291280031204224
clay-center,3,0.5,54210,27105.0,2,17.25563621520996
clay-center,3,0.5,54210,27105.0,3,16.784749269485474
clay-center,3,0.5,54210,27105.0,4,16.959474563598633
clay-center,3,0.5,54210,27105.0,5,17.328925609588623
clay-center,3,0.5,54210,27105.0,6,16.796844005584717
clay-center,3,0.5,54210,27105.0,7,16.12376117706299
clay-center,3,0.5,54210,27105.0,8,17.339797973632812
clay-center,3,0.5,54210,27105.0,9,16.240253686904907
clay-center,3,1,54210,54210,0,34.01645469665527
clay-center,3,1,54210,54210,1,34.301135540008545
clay-center,3,1,54210,54210,2,34.09116172790527
clay-center,3,1,54210,54210,3,33.436195373535156
clay-center,3,1,54210,54210,4,34.033958196640015
clay-center,3,1,54210,54210,5,33.99262237548828
clay-center,3,1,54210,54210,6,33.59096837043762
clay-center,3,1,54210,54210,7,32.53006625175476
clay-center,3,1,54210,54210,8,33.93964433670044
clay-center,3,1,54210,54210,9,33.83583855628967
clay-center,3,2,54210,108420,0,50.36043405532837
clay-center,3,2,54210,108420,1,50.43281149864197
clay-center,3,2,54210,108420,2,50.609675884246826
clay-center,3,2,54210,108420,3,49.11312437057495
clay-center,3,2,54210,108420,4,50.684205532073975
clay-center,3,2,54210,108420,5,49.84516716003418
clay-center,3,2,54210,108420,6,50.8468279838562
clay-center,3,2,54210,108420,7,50.7022123336792
clay-center,3,2,54210,108420,8,50.78988265991211
clay-center,3,2,54210,108420,9,50.716421604156494
clay-center,10,0.25,15242,3810.5,0,2.047215223312378
clay-center,10,0.25,15242,3810.5,1,1.8381969928741455
clay-center,10,0.25,15242,3810.5,2,2.074822187423706
clay-center,10,0.25,15242,3810.5,3,2.0821855068206787
clay-center,10,0.25,15242,3810.5,4,1.5971715450286865
clay-center,10,0.25,15242,3810.5,5,2.0968737602233887
clay-center,10,0.25,15242,3810.5,6,1.4045164585113525
clay-center,10,0.25,15242,3810.5,7,1.5360894203186035
clay-center,10,0.25,15242,3810.5,8,2.059657096862793
clay-center,10,0.25,15242,3810.5,9,1.4692931175231934
clay-center,10,0.5,15242,7621.0,0,1.3400869369506836
