site_name,resolution,scalar,cells,particles,run_n,run_time
clay-center,2,0.25,121508,30377.0,0,10.63957405090332
clay-center,2,0.25,121508,30377.0,1,10.459969758987427
clay-center,2,0.25,121508,30377.0,2,10.591675043106079
clay-center,2,0.25,121508,30377.0,3,10.448553323745728
clay-center,2,0.25,121508,30377.0,4,10.48227596282959
clay-center,2,0.25,121508,30377.0,5,10.451336145401001
clay-center,2,0.25,121508,30377.0,6,10.452426671981812
clay-center,2,0.25,121508,30377.0,7,11.184153079986572
clay-center,2,0.25,121508,30377.0,8,10.592449188232422
clay-center,2,0.25,121508,30377.0,9,11.11282467842102
clay-center,2,0.5,121508,60754.0,0,10.698787212371826
clay-center,2,0.5,121508,60754.0,1,10.216042041778564
clay-center,2,0.5,121508,60754.0,2,10.227344512939453
clay-center,2,0.5,121508,60754.0,3,11.112948656082153
clay-center,2,0.5,121508,60754.0,4,10.366507768630981
clay-center,2,0.5,121508,60754.0,5,10.528623580932617
clay-center,2,0.5,121508,60754.0,6,10.78421688079834
clay-center,2,0.5,121508,60754.0,7,11.461876392364502
clay-center,2,0.5,121508,60754.0,8,10.601064920425415
clay-center,2,0.5,121508,60754.0,9,10.88562822341919
clay-center,2,1,121508,121508,0,20.781285762786865
clay-center,2,1,121508,121508,1,21.452206134796143
clay-center,2,1,121508,121508,2,20.154292583465576
clay-center,2,1,121508,121508,3,20.520225763320923
clay-center,2,1,121508,121508,4,20.440086126327515
clay-center,2,1,121508,121508,5,22.336693286895752
clay-center,2,1,121508,121508,6,19.83928108215332
clay-center,2,1,121508,121508,7,21.507750511169434
clay-center,2,1,121508,121508,8,20.321730136871338
clay-center,2,1,121508,121508,9,21.66781711578369
clay-center,2,2,121508,243016,0,33.38277864456177
clay-center,2,2,121508,243016,1,30.503820180892944
clay-center,2,2,121508,243016,2,30.082422971725464
clay-center,2,2,121508,243016,3,29.34616494178772
clay-center,2,2,121508,243016,4,29.24040174484253
clay-center,2,2,121508,243016,5,31.781282901763916
clay-center,2,2,121508,243016,6,30.68373203277588
clay-center,2,2,121508,243016,7,31.732336044311523
clay-center,2,2,121508,243016,8,32.40322971343994
clay-center,2,2,121508,243016,9,30.9896399974823
clay-center,2,3,121508,364524,0,40.48142695426941
clay-center,2,3,121508,364524,1,42.11120367050171
clay-center,2,3,121508,364524,2,42.24097204208374
clay-center,2,3,121508,364524,3,40.93785381317139
clay-center,2,3,121508,364524,4,42.01527428627014
clay-center,2,3,121508,364524,5,40.23282170295715
clay-center,2,3,121508,364524,6,40.05678033828735
clay-center,2,3,121508,364524,7,42.20418429374695
clay-center,2,3,121508,364524,8,42.087523221969604
clay-center,2,3,121508,364524,9,42.135595083236694
clay-center,3,0.25,126707,31676.75,0,12.00925874710083
clay-center,3,0.25,126707,31676.75,1,10.908847570419312
clay-center,3,0.25,126707,31676.75,2,12.127425909042358
clay-center,3,0.25,126707,31676.75,3,10.73024034500122
clay-center,3,0.25,126707,31676.75,4,11.262139081954956
clay-center,3,0.25,126707,31676.75,5,11.663987398147583
clay-center,3,0.25,126707,31676.75,6,11.003146886825562
clay-center,3,0.25,126707,31676.75,7,11.507916927337646
clay-center,3,0.25,126707,31676.75,8,11.054501295089722
clay-center,3,0.25,126707,31676.75,9,10.682334661483765
clay-center,3,0.5,126707,63353.5,0,11.297532081604004
clay-center,3,0.5,126707,63353.5,1,11.094655513763428
clay-center,3,0.5,126707,63353.5,2,11.176181316375732
clay-center,3,0.5,126707,63353.5,3,11.979961156845093
clay-center,3,0.5,126707,63353.5,4,11.314650535583496
clay-center,3,0.5,126707,63353.5,5,10.686474084854126
clay-center,3,0.5,126707,63353.5,6,10.459938287734985
clay-center,3,0.5,126707,63353.5,7,11.40164065361023
clay-center,3,0.5,126707,63353.5,8,10.668660163879395
clay-center,3,0.5,126707,63353.5,9,11.030370473861694
clay-center,3,1,126707,126707,0,21.54495072364807
clay-center,3,1,126707,126707,1,21.849405765533447
clay-center,3,1,126707,126707,2,21.395094871520996
clay-center,3,1,126707,126707,3,22.943923711776733
clay-center,3,1,126707,126707,4,22.48639225959778
clay-center,3,1,126707,126707,5,21.470010995864868
clay-center,3,1,126707,126707,6,20.33130192756653
clay-center,3,1,126707,126707,7,20.803748846054077
clay-center,3,1,126707,126707,8,23.147645473480225
clay-center,3,1,126707,126707,9,20.880882263183594
clay-center,3,2,126707,253414,0,32.92632722854614
clay-center,3,2,126707,253414,1,34.666884899139404
clay-center,3,2,126707,253414,2,32.58396124839783
clay-center,3,2,126707,253414,3,34.237082719802856
clay-center,3,2,126707,253414,4,31.64635467529297
clay-center,3,2,126707,253414,5,30.34022092819214
clay-center,3,2,126707,253414,6,35.1788432598114
clay-center,3,2,126707,253414,7,33.63563632965088
clay-center,3,2,126707,253414,8,32.64149188995361
clay-center,3,2,126707,253414,9,31.558355569839478
clay-center,3,3,126707,380121,0,42.646409034729004
clay-center,3,3,126707,380121,1,43.77866554260254
clay-center,3,3,126707,380121,2,46.215062856674194
clay-center,3,3,126707,380121,3,43.6948139667511
clay-center,3,3,126707,380121,4,45.59937858581543
clay-center,3,3,126707,380121,5,43.08496427536011
clay-center,3,3,126707,380121,6,46.24790096282959
clay-center,3,3,126707,380121,7,45.71177411079407
clay-center,3,3,126707,380121,8,44.736828088760376
clay-center,3,3,126707,380121,9,44.24485540390015
