site_name,resolution,scalar,cells,particles,run_n,run_time
SFREC,1,0.25,363592,90898.0,0,1416.7542781829834
SFREC,1,0.25,363592,90898.0,1,1416.766222000122
SFREC,1,0.25,363592,90898.0,2,1419.0743730068207
SFREC,1,0.25,363592,90898.0,3,1417.5008306503296
SFREC,1,0.25,363592,90898.0,4,1417.44273853302
SFREC,1,0.25,363592,90898.0,5,1422.378424167633
SFREC,1,0.25,363592,90898.0,6,1422.697520017624
SFREC,1,0.25,363592,90898.0,7,1425.4109477996826
SFREC,1,0.25,363592,90898.0,8,1417.0402660369873
SFREC,1,0.25,363592,90898.0,9,1424.2422297000885
SFREC,1,0.5,363592,181796.0,0,1421.518174648285
SFREC,1,0.5,363592,181796.0,1,1419.3447160720825
SFREC,1,0.5,363592,181796.0,2,1417.4480986595154
SFREC,1,0.5,363592,181796.0,3,1422.2080099582672
SFREC,1,0.5,363592,181796.0,4,1416.498134613037
SFREC,1,0.5,363592,181796.0,5,1417.246773481369
SFREC,1,0.5,363592,181796.0,6,1421.4874227046967
SFREC,1,0.5,363592,181796.0,7,1420.1054458618164
SFREC,1,0.5,363592,181796.0,8,1421.0261647701263
SFREC,1,0.5,363592,181796.0,9,1410.9675948619843
SFREC,1,1,363592,363592,0,2840.88303232193
SFREC,1,1,363592,363592,1,2838.8105075359344
SFREC,1,1,363592,363592,2,2840.5549771785736
SFREC,1,1,363592,363592,3,2850.4607956409454
SFREC,1,1,363592,363592,4,2667.630110502243
SFREC,1,1,363592,363592,5,2663.5210864543915
SFREC,1,1,363592,363592,6,2676.9449548721313
SFREC,1,1,363592,363592,7,2750.600725889206
SFREC,1,1,363592,363592,8,2838.072420835495
SFREC,1,1,363592,363592,9,2840.015848875046
SFREC,1,2,363592,727184,0,4261.1399030685425
SFREC,1,2,363592,727184,1,4269.683555364609
SFREC,1,2,363592,727184,2,4254.989757061005
SFREC,1,2,363592,727184,3,4259.85723567009
SFREC,1,2,363592,727184,4,4260.6780552864075
SFREC,1,2,363592,727184,5,4261.518999814987
SFREC,1,2,363592,727184,6,4250.822734594345
SFREC,1,2,363592,727184,7,4261.538505792618
SFREC,1,2,363592,727184,8,4249.078816413879
SFREC,1,2,363592,727184,9,4268.253023147583
SFREC,3,0.25,40378,10094.5,0,49.377288818359375
SFREC,3,0.25,40378,10094.5,1,49.2858247756958
SFREC,3,0.25,40378,10094.5,2,49.283894300460815
SFREC,3,0.25,40378,10094.5,3,48.55254006385803
SFREC,3,0.25,40378,10094.5,4,49.30559206008911
SFREC,3,0.25,40378,10094.5,5,49.39617609977722
SFREC,3,0.25,40378,10094.5,6,49.1929886341095
SFREC,3,0.25,40378,10094.5,7,49.299023389816284
SFREC,3,0.25,40378,10094.5,8,49.37517809867859
SFREC,3,0.25,40378,10094.5,9,49.34811854362488
SFREC,3,0.5,40378,20189.0,0,49.30082607269287
SFREC,3,0.5,40378,20189.0,1,49.32581377029419
SFREC,3,0.5,40378,20189.0,2,48.84789323806763
SFREC,3,0.5,40378,20189.0,3,49.29710268974304
SFREC,3,0.5,40378,20189.0,4,48.967448472976685
SFREC,3,0.5,40378,20189.0,5,49.2883505821228
SFREC,3,0.5,40378,20189.0,6,49.104960441589355
SFREC,3,0.5,40378,20189.0,7,48.924623012542725
SFREC,3,0.5,40378,20189.0,8,48.931142807006836
SFREC,3,0.5,40378,20189.0,9,49.22018814086914
SFREC,3,1,40378,40378,0,98.15300440788269
SFREC,3,1,40378,40378,1,98.20415377616882
SFREC,3,1,40378,40378,2,98.3721981048584
SFREC,3,1,40378,40378,3,98.35003447532654
SFREC,3,1,40378,40378,4,96.81912016868591
SFREC,3,1,40378,40378,5,98.22765517234802
SFREC,3,1,40378,40378,6,98.24562478065491
SFREC,3,1,40378,40378,7,98.13871622085571
SFREC,3,1,40378,40378,8,98.2140941619873
SFREC,3,1,40378,40378,9,98.00863695144653
SFREC,3,2,40378,80756,0,147.13301968574524
SFREC,3,2,40378,80756,1,147.3886251449585
SFREC,3,2,40378,80756,2,146.99260020256042
SFREC,3,2,40378,80756,3,145.09677362442017
SFREC,3,2,40378,80756,4,145.57344770431519
SFREC,3,2,40378,80756,5,147.30608916282654
SFREC,3,2,40378,80756,6,145.43063044548035
SFREC,3,2,40378,80756,7,146.37007451057434
SFREC,3,2,40378,80756,8,147.28323101997375
SFREC,3,2,40378,80756,9,147.3652114868164
SFREC,10,0.25,3792,948.0,0,1.5223326683044434
SFREC,10,0.25,3792,948.0,1,1.4811909198760986
SFREC,10,0.25,3792,948.0,2,1.1691181659698486
SFREC,10,0.25,3792,948.0,3,0.9751639366149902
SFREC,10,0.25,3792,948.0,4,1.4919753074645996
SFREC,10,0.25,3792,948.0,5,0.9975235462188721
SFREC,10,0.25,3792,948.0,6,1.349271297454834
SFREC,10,0.25,3792,948.0,7,1.5264787673950195
SFREC,10,0.25,3792,948.0,8,1.0465710163116455
SFREC,10,0.25,3792,948.0,9,1.3904802799224854
SFREC,10,0.5,3792,1896.0,0,1.5316369533538818
SFREC,10,0.5,3792,1896.0,1,1.5035984516143799
SFREC,10,0.5,3792,1896.0,2,1.4893741607666016
SFREC,10,0.5,3792,1896.0,3,1.1927061080932617
SFREC,10,0.5,3792,1896.0,4,0.987227201461792
SFREC,10,0.5,3792,1896.0,5,1.1230528354644775
SFREC,10,0.5,3792,1896.0,6,1.0122113227844238
SFREC,10,0.5,3792,1896.0,7,1.4956324100494385
SFREC,10,0.5,3792,1896.0,8,1.232114315032959
SFREC,10,0.5,3792,1896.0,9,1.0356183052062988
SFREC,10,1,3792,3792,0,2.3258559703826904
SFREC,10,1,3792,3792,1,2.4921278953552246
SFREC,10,1,3792,3792,2,2.428549289703369
SFREC,10,1,3792,3792,3,2.4000747203826904
SFREC,10,1,3792,3792,4,2.7479803562164307
SFREC,10,1,3792,3792,5,2.7059130668640137
SFREC,10,1,3792,3792,6,2.746584892272949
SFREC,10,1,3792,3792,7,2.4826247692108154
SFREC,10,1,3792,3792,8,2.735654354095459
SFREC,10,1,3792,3792,9,2.739396095275879
SFREC,10,2,3792,7584,0,3.9842450618743896
SFREC,10,2,3792,7584,1,3.247398614883423
SFREC,10,2,3792,7584,2,3.8202524185180664
SFREC,10,2,3792,7584,3,3.7960898876190186
SFREC,10,2,3792,7584,4,3.9382505416870117
SFREC,10,2,3792,7584,5,3.9577817916870117
SFREC,10,2,3792,7584,6,3.9805095195770264
SFREC,10,2,3792,7584,7,4.00933837890625
SFREC,10,2,3792,7584,8,3.969683885574341
SFREC,10,2,3792,7584,9,3.7742977142333984
SFREC,30,0.25,419,104.75,0,0.08655691146850586
SFREC,30,0.25,419,104.75,1,0.07619190216064453
SFREC,30,0.25,419,104.75,2,0.07854914665222168
SFREC,30,0.25,419,104.75,3,0.07920289039611816
SFREC,30,0.25,419,104.75,4,0.10698223114013672
SFREC,30,0.25,419,104.75,5,0.08311843872070312
SFREC,30,0.25,419,104.75,6,0.08403801918029785
SFREC,30,0.25,419,104.75,7,0.07822036743164062
SFREC,30,0.25,419,104.75,8,0.05720329284667969
SFREC,30,0.25,419,104.75,9,0.08464431762695312
SFREC,30,0.5,419,209.5,0,0.08936572074890137
SFREC,30,0.5,419,209.5,1,0.07973027229309082
SFREC,30,0.5,419,209.5,2,0.07445526123046875
SFREC,30,0.5,419,209.5,3,0.07778358459472656
SFREC,30,0.5,419,209.5,4,0.08422327041625977
SFREC,30,0.5,419,209.5,5,0.0876162052154541
