site_name,resolution,scalar,cells,particles,run_n,run_time
tx069-playas,1,0.25,324443392,7000000,0,0.0
tx069-playas,1,0.5,324443392,7000000,0,0.0
tx069-playas,1,1,324443392,7000000,0,0.0
tx069-playas,1,2,324443392,7000000,0,0.0
tx069-playas,1,4,324443392,7000000,0,0.0
tx069-playas,3,0.25,36049238,7000000,0,0.0
tx069-playas,3,0.5,36049238,7000000,0,0.0
tx069-playas,3,1,36049238,7000000,0,0.0
tx069-playas,3,2,36049238,7000000,0,0.0
tx069-playas,3,4,36049238,7000000,0,0.0
tx069-playas,5,0.25,12977712,3244428.0,0,0.0
tx069-playas,5,0.5,12977712,6488856.0,0,0.0
tx069-playas,5,1,12977712,7000000,0,0.0
tx069-playas,5,2,12977712,7000000,0,0.0
tx069-playas,5,4,12977712,7000000,0,0.0
tx069-playas,10,0.25,3244457,811114.25,0,0.0
tx069-playas,10,0.5,3244457,1622228.5,0,0.0
tx069-playas,10,1,3244457,3244457,0,0.0
tx069-playas,10,2,3244457,6488914,0,0.0
tx069-playas,10,4,3244457,7000000,0,0.0
tx069-playas,30,0.25,360492,90123.0,0,0.0
tx069-playas,30,0.5,360492,180246.0,0,0.0
tx069-playas,30,1,360492,360492,0,0.0
tx069-playas,30,2,360492,720984,0,0.0
tx069-playas,30,4,360492,1441968,0,0.0
