site_name,resolution,scalar,cells,particles,run_n,run_time
SFREC,1,0.25,363592,90898.0,0,244.90106296539307
SFREC,1,0.25,363592,90898.0,1,236.73156142234802
SFREC,1,0.25,363592,90898.0,2,247.97340631484985
SFREC,1,0.25,363592,90898.0,3,229.07977890968323
SFREC,1,0.25,363592,90898.0,4,247.41677594184875
SFREC,1,0.25,363592,90898.0,5,240.61526441574097
SFREC,1,0.25,363592,90898.0,6,241.932683467865
SFREC,1,0.25,363592,90898.0,7,244.633873462677
SFREC,1,0.25,363592,90898.0,8,230.95989155769348
SFREC,1,0.25,363592,90898.0,9,241.36637473106384
SFREC,1,0.5,363592,181796.0,0,245.67056465148926
SFREC,1,0.5,363592,181796.0,1,244.51048970222473
SFREC,1,0.5,363592,181796.0,2,245.57887268066406
SFREC,1,0.5,363592,181796.0,3,237.9206748008728
