site_name,resolution,scalar,cells,particles,run_n,run_time
SFREC,1,0.25,378604,94651.0,0,339.78132367134094
SFREC,1,0.25,378604,94651.0,1,372.1936855316162
SFREC,1,0.25,378604,94651.0,2,328.55075764656067
SFREC,1,0.25,378604,94651.0,3,369.46580171585083
SFREC,1,0.25,378604,94651.0,4,352.4728572368622
SFREC,1,0.25,378604,94651.0,5,331.85028052330017
SFREC,1,0.25,378604,94651.0,6,327.5243079662323
SFREC,1,0.25,378604,94651.0,7,357.9844150543213
SFREC,1,0.25,378604,94651.0,8,331.62188267707825
SFREC,1,0.25,378604,94651.0,9,337.91225838661194
SFREC,1,0.5,378604,189302.0,0,334.4414689540863
SFREC,1,0.5,378604,189302.0,1,313.50685834884644
