site_name,resolution,scalar,cells,particles,run_n,run_time
clay-center,1,0.25,375461,93865.25,0,57.33945059776306
clay-center,1,0.25,375461,93865.25,1,58.47404193878174
clay-center,1,0.25,375461,93865.25,2,58.59047603607178
clay-center,1,0.25,375461,93865.25,3,67.05656170845032
clay-center,1,0.25,375461,93865.25,4,61.155619859695435
clay-center,1,0.25,375461,93865.25,5,62.22282791137695
clay-center,1,0.25,375461,93865.25,6,59.40981578826904
clay-center,1,0.25,375461,93865.25,7,62.571918964385986
clay-center,1,0.25,375461,93865.25,8,65.76300621032715
clay-center,1,0.25,375461,93865.25,9,59.33539080619812
clay-center,1,0.5,375461,187730.5,0,58.57429575920105
clay-center,1,0.5,375461,187730.5,1,63.13633966445923
clay-center,1,0.5,375461,187730.5,2,59.527812004089355
clay-center,1,0.5,375461,187730.5,3,60.892168045043945
clay-center,1,0.5,375461,187730.5,4,60.724647760391235
clay-center,1,0.5,375461,187730.5,5,64.09133911132812
clay-center,1,0.5,375461,187730.5,6,61.20530676841736
clay-center,1,0.5,375461,187730.5,7,64.16645765304565
clay-center,1,0.5,375461,187730.5,8,62.96803522109985
clay-center,1,0.5,375461,187730.5,9,58.92741894721985
clay-center,1,1,375461,375461,0,111.45420551300049
clay-center,1,1,375461,375461,1,132.83399033546448
clay-center,1,1,375461,375461,2,119.99001288414001
clay-center,1,1,375461,375461,3,122.48482704162598
clay-center,1,1,375461,375461,4,144.62821197509766
clay-center,1,1,375461,375461,5,131.1686782836914
clay-center,1,1,375461,375461,6,130.62142372131348
