site_name,resolution,scalar,cells,particles,run_n,run_time
tx069-playas,1,0.25,1376287,344071.75,0,65.38850021362305
tx069-playas,1,0.25,1376287,344071.75,1,58.07158303260803
tx069-playas,1,0.25,1376287,344071.75,2,58.3189697265625
tx069-playas,1,0.25,1376287,344071.75,3,57.88404083251953
tx069-playas,1,0.25,1376287,344071.75,4,57.96228528022766
tx069-playas,1,0.25,1376287,344071.75,5,59.69036602973938
tx069-playas,1,0.25,1376287,344071.75,6,58.673840045928955
tx069-playas,1,0.25,1376287,344071.75,7,58.01493525505066
tx069-playas,1,0.25,1376287,344071.75,8,58.887983083724976
tx069-playas,1,0.25,1376287,344071.75,9,60.64836931228638
tx069-playas,1,0.5,1376287,688143.5,0,61.4769184589386
tx069-playas,1,0.5,1376287,688143.5,1,57.29629898071289
tx069-playas,1,0.5,1376287,688143.5,2,58.26444745063782
tx069-playas,1,0.5,1376287,688143.5,3,55.44753313064575
tx069-playas,1,0.5,1376287,688143.5,4,58.28407645225525
tx069-playas,1,0.5,1376287,688143.5,5,58.0474419593811
tx069-playas,1,0.5,1376287,688143.5,6,59.4937002658844
tx069-playas,1,0.5,1376287,688143.5,7,62.964980602264404
tx069-playas,1,0.5,1376287,688143.5,8,58.65729475021362
tx069-playas,1,0.5,1376287,688143.5,9,55.74533009529114
tx069-playas,1,1,1376287,1376287,0,111.92566776275635
tx069-playas,1,1,1376287,1376287,1,109.25073409080505
tx069-playas,1,1,1376287,1376287,2,108.3617525100708
tx069-playas,1,1,1376287,1376287,3,119.6587131023407
tx069-playas,1,1,1376287,1376287,4,108.46361684799194
tx069-playas,1,1,1376287,1376287,5,117.17139291763306
tx069-playas,1,1,1376287,1376287,6,111.88293838500977
tx069-playas,1,1,1376287,1376287,7,116.85748553276062
tx069-playas,1,1,1376287,1376287,8,107.87280178070068
tx069-playas,1,1,1376287,1376287,9,108.59838247299194
tx069-playas,1,2,1376287,2752574,0,314.28970432281494
tx069-playas,1,2,1376287,2752574,1,320.0467891693115
tx069-playas,1,2,1376287,2752574,2,318.22509002685547
tx069-playas,1,2,1376287,2752574,3,311.02150654792786
tx069-playas,1,2,1376287,2752574,4,325.3497965335846
tx069-playas,1,2,1376287,2752574,5,315.70154905319214
tx069-playas,1,2,1376287,2752574,6,317.8264379501343
tx069-playas,1,2,1376287,2752574,7,335.44491028785706
tx069-playas,1,2,1376287,2752574,8,329.3237113952637
tx069-playas,1,2,1376287,2752574,9,324.2801365852356
tx069-playas,1,3,1376287,4128861,0,620.9785785675049
tx069-playas,1,3,1376287,4128861,1,623.8719918727875
tx069-playas,1,3,1376287,4128861,2,647.4144101142883
tx069-playas,1,3,1376287,4128861,3,642.1012020111084
tx069-playas,1,3,1376287,4128861,4,661.28671002388
tx069-playas,1,3,1376287,4128861,5,650.5978255271912
tx069-playas,1,3,1376287,4128861,6,607.9893598556519
tx069-playas,1,3,1376287,4128861,7,629.64208984375
tx069-playas,1,3,1376287,4128861,8,630.2653453350067
tx069-playas,1,3,1376287,4128861,9,595.2921161651611
tx069-playas,3,0.25,823593,205898.25,0,24.498322010040283
tx069-playas,3,0.25,823593,205898.25,1,21.607837438583374
tx069-playas,3,0.25,823593,205898.25,2,20.093477249145508
tx069-playas,3,0.25,823593,205898.25,3,21.84289288520813
tx069-playas,3,0.25,823593,205898.25,4,20.89852213859558
tx069-playas,3,0.25,823593,205898.25,5,22.68015742301941
tx069-playas,3,0.25,823593,205898.25,6,21.010666847229004
tx069-playas,3,0.25,823593,205898.25,7,20.31950807571411
tx069-playas,3,0.25,823593,205898.25,8,21.49730110168457
tx069-playas,3,0.25,823593,205898.25,9,21.18793773651123
tx069-playas,3,0.5,823593,411796.5,0,21.06221055984497
tx069-playas,3,0.5,823593,411796.5,1,20.088100910186768
tx069-playas,3,0.5,823593,411796.5,2,20.69240641593933
tx069-playas,3,0.5,823593,411796.5,3,21.696212768554688
tx069-playas,3,0.5,823593,411796.5,4,21.720104932785034
tx069-playas,3,0.5,823593,411796.5,5,20.05261778831482
tx069-playas,3,0.5,823593,411796.5,6,21.60072112083435
tx069-playas,3,0.5,823593,411796.5,7,21.344336986541748
tx069-playas,3,0.5,823593,411796.5,8,20.741743326187134
tx069-playas,3,0.5,823593,411796.5,9,22.368324518203735
