,n,null_cells,cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,first_quartile,median,third_quartile,percentiles,run_time,particles,area_km2,resolution,scalar,minute,stat_type,ars,error,run_id,normalized_error,p_density
4,290532,410579,701111,0.0,0.899047315120697,0.899047315120697,0.010349112400423778,0.010349112400423778,0.0351240398437932,0.0012336981749483718,339.3918095077886,3006.748323919921,0.002859396394342184,0.003947701305150986,0.0061675007455050945,"[{'percentile': 90, 'value': 0.012056176085025072}]",542.1365721702575,381147.75,1.524591,1,025,25,median,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
5,290532,410579,701111,0.0,0.9047137498855591,0.9047137498855591,0.01040647485777751,0.01040647485777751,0.03552414845945183,0.0012619651237691736,341.3658221919603,3023.413953379815,0.002859396394342184,0.003947701305150986,0.006167952204123139,"[{'percentile': 90, 'value': 0.012070825323462486}]",542.1365721702575,381147.75,1.524591,1,025,30,median,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
0,290532,410579,701111,0.0,0.45409485697746277,0.45409485697746277,0.007069076054757088,0.007069076054757088,0.01740250576803837,0.0003028472070066088,246.17793942572553,2053.7928043406864,0.0021972963586449623,0.0032959056552499533,0.005330060143023729,"[{'percentile': 90, 'value': 0.010303976014256477}]",542.1365721702575,381147.75,1.524591,1,025,05,minimum,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
1,290532,410579,701111,0.0,0.6728293895721436,0.6728293895721436,0.008406209800325066,0.008406209800325066,0.026863282924889077,0.000721635969502637,319.56474514650205,2442.2729457080422,0.0021972963586449623,0.0032959056552499533,0.005330060143023729,"[{'percentile': 90, 'value': 0.010783380828797817}]",542.1365721702575,381147.75,1.524591,1,025,10,minimum,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
2,290532,410579,701111,0.0,0.8251922130584717,0.8251922130584717,0.00914446923186741,0.00914446923186741,0.03190412714977973,0.0010178733291893117,348.88987365824977,2656.760934872902,0.0021972963586449623,0.0032959056552499533,0.005380265414714813,"[{'percentile': 90, 'value': 0.011002292856574059}]",542.1365721702575,381147.75,1.524591,1,025,15,minimum,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
3,290532,410579,701111,0.0,0.8785886764526367,0.8785886764526367,0.00948882638264019,0.00948882638264019,0.0342294339413777,0.0011716541479471396,360.7341156963359,2756.8077066012193,0.0021972963586449623,0.0032959056552499533,0.005380265414714813,"[{'percentile': 90, 'value': 0.011095227673649788}]",542.1365721702575,381147.75,1.524591,1,025,20,minimum,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
4,290532,410579,701111,0.0,0.8964382410049438,0.8964382410049438,0.009599564257952371,0.009599564257952371,0.03500353984533572,0.0012252478017040053,364.6367575105136,2788.980602991418,0.0021972963586449623,0.0032959056552499533,0.005380265414714813,"[{'percentile': 90, 'value': 0.01112609077244997}]",542.1365721702575,381147.75,1.524591,1,025,25,minimum,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
5,290532,410579,701111,0.0,0.9021353721618652,0.9021353721618652,0.009656194330877882,0.009656194330877882,0.0354007827525867,0.00125321541949584,366.6121614742635,2805.433451338613,0.0021972963586449623,0.0032959056552499533,0.005380265414714813,"[{'percentile': 90, 'value': 0.01112609077244997}]",542.1365721702575,381147.75,1.524591,1,025,30,minimum,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
0,290532,410579,701111,0.0,9.0,9.0,4.276331006567263,4.276331006567263,2.8768262068962254,8.276129024684924,67.27323498761474,1242411.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,05,min_raster,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
1,290532,410579,701111,0.0,9.0,9.0,4.276988421241033,4.276988421241033,2.878292264571892,8.28456636029439,67.29717224103945,1242602.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,10,min_raster,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
2,290532,410579,701111,0.0,9.0,9.0,4.275859457822202,4.275859457822202,2.8780574732522406,8.283214819343073,67.30944975254413,1242274.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,15,min_raster,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
3,290532,410579,701111,0.0,9.0,9.0,4.276251841449479,4.276251841449479,2.877335673116619,8.279060575789465,67.28639424897193,1242388.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,20,min_raster,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
4,290532,410579,701111,0.0,9.0,9.0,4.275735547203062,4.275735547203062,2.877051433170017,8.277424949105649,67.28787132431559,1242238.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,25,min_raster,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
5,290532,410579,701111,0.0,9.0,9.0,4.275322511805928,4.275322511805928,2.8768959793663638,8.276530476094349,67.29073587833591,1242118.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,30,min_raster,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
0,290532,410579,701111,0.0,0.455884724855423,0.455884724855423,0.008553868948282497,0.008553868948282497,0.017644675851357122,0.0003113345858994652,206.2771356217696,2485.1726532824105,0.003499888349324465,0.004645609296858311,0.006893989630043507,"[{'percentile': 90, 'value': 0.012172804214060307}]",542.1365721702575,381147.75,1.524591,1,025,05,maximum,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
1,290532,410579,701111,0.0,0.675106406211853,0.675106406211853,0.00989827601803181,0.00989827601803181,0.027096126080453493,0.0007342000485678319,273.74591323875137,2875.7659280708176,0.003499888349324465,0.004645609296858311,0.006936327554285526,"[{'percentile': 90, 'value': 0.012631709687411785}]",542.1365721702575,381147.75,1.524591,1,025,10,maximum,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
2,290532,410579,701111,0.0,0.8303987383842468,0.8303987383842468,0.010639320115570354,0.010639320115570354,0.03213613918010586,0.0010327314414031352,302.0506839819163,3091.062951816886,0.003499888349324465,0.004645609296858311,0.006936327554285526,"[{'percentile': 90, 'value': 0.012857034802436829}]",542.1365721702575,381147.75,1.524591,1,025,15,maximum,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
3,290532,410579,701111,0.0,0.8843222856521606,0.8843222856521606,0.010985099572021737,0.010985099572021737,0.03446492598459791,0.0011878311231238122,313.7424996344832,3191.522948858619,0.003499888349324465,0.004645609296858311,0.006936327554285526,"[{'percentile': 90, 'value': 0.012968715280294418}]",542.1365721702575,381147.75,1.524591,1,025,20,maximum,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
4,290532,410579,701111,0.0,0.9021831154823303,0.9021831154823303,0.011096747335111505,0.011096747335111505,0.0352419748907464,0.0012419967942,317.5883331076338,3223.960196764616,0.003499888349324465,0.004645609296858311,0.006936327554285526,"[{'percentile': 90, 'value': 0.012996534816920757}]",542.1365721702575,381147.75,1.524591,1,025,25,maximum,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
5,290532,410579,701111,0.0,0.907656192779541,0.907656192779541,0.011154659918596948,0.011154659918596948,0.035645098564025715,0.0012705730516391082,319.5534316971738,3240.7856554698083,0.003499888349324465,0.004645609296858311,0.006936327554285526,"[{'percentile': 90, 'value': 0.013024315237998962}]",542.1365721702575,381147.75,1.524591,1,025,30,maximum,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
0,290532,410579,701111,0.0,9.0,9.0,4.313036085525863,4.313036085525863,2.872599049084165,8.251825296799248,66.60271308010458,1253075.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,05,max_raster,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
1,290532,410579,701111,0.0,9.0,9.0,4.313727919816062,4.313727919816062,2.873427500405647,8.256585600087444,66.61123635558755,1253276.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,10,max_raster,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
2,290532,410579,701111,0.0,9.0,9.0,4.314805253810252,4.314805253810252,2.87310661739799,8.254741634936119,66.58716786489613,1253589.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,15,max_raster,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
3,290532,410579,701111,0.0,9.0,9.0,4.315500530062093,4.315500530062093,2.8744173290352033,8.262274981457871,66.60681209541748,1253791.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,20,max_raster,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
4,290532,410579,701111,0.0,9.0,9.0,4.315352525711454,4.315352525711454,2.8744485383279708,8.262454399495809,66.60981973550521,1253748.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,25,max_raster,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
5,290532,410579,701111,0.0,9.0,9.0,4.316106315311222,4.316106315311222,2.8742453928115754,8.261286578098566,66.59347992924317,1253967.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,30,max_raster,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
0,290532,410579,701111,0.0,0.002207798008784796,0.002207798008784796,0.0004458300136402329,0.0004458300136402329,0.00014999572449553013,2.2498717366938978e-08,33.644151337144095,129.52788552292415,0.0003448604505827246,0.0004232003152365142,0.0005183753154395244,"[{'percentile': 90, 'value': 0.0006308505993785888}]",542.1365721702575,381147.75,1.524591,1,025,05,stddev,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
1,290532,410579,701111,0.0,0.0030883542934512405,0.0030883542934512405,0.00044802361826550685,0.00044802361826550685,0.0001562081605036078,2.440098940792089e-08,34.86605485406263,130.16519786191424,0.0003450376463788682,0.00042352609733948144,0.0005194506611775301,"[{'percentile': 90, 'value': 0.0006346167049023683}]",542.1365721702575,381147.75,1.524591,1,025,10,stddev,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
2,290532,410579,701111,0.0,0.0025430986127050873,0.0025430986127050873,0.00044881802680435076,0.00044881802680435076,0.00015815215933261755,2.5012105501569646e-08,35.23747930952859,130.39599896352163,0.00034507552723184556,0.00042373053502588805,0.0005199314071514751,"[{'percentile': 90, 'value': 0.0006359185365830057}]",542.1365721702575,381147.75,1.524591,1,025,15,stddev,0.14057571379453873,0.001619769883409441,1_025,2.0,0.5436339609562537
