,site_name,resolution,scalar,cells,particles,run_n,run_time,area_m2,area_km2,p_density,error,tri
49,SJER,1,4.0,293592,1174368.0,9,165.0397503376007,293592,0.293592,4.0,0.0009227794101691627,0.028
50,SJER,3,0.25,32621,8155.25,0,1.471118688583374,293589,0.293589,0.25,0.011073409497674653,0.028
51,SJER,3,0.25,32621,8155.25,1,1.360301494598389,293589,0.293589,0.25,0.011073409497674653,0.028
52,SJER,3,0.25,32621,8155.25,2,1.377558708190918,293589,0.293589,0.25,0.011073409497674653,0.028
53,SJER,3,0.25,32621,8155.25,3,1.37256121635437,293589,0.293589,0.25,0.011073409497674653,0.028
54,SJER,3,0.25,32621,8155.25,4,1.4555654525756836,293589,0.293589,0.25,0.011073409497674653,0.028
55,SJER,3,0.25,32621,8155.25,5,1.4426298141479492,293589,0.293589,0.25,0.011073409497674653,0.028
56,SJER,3,0.25,32621,8155.25,6,1.4183266162872314,293589,0.293589,0.25,0.011073409497674653,0.028
57,SJER,3,0.25,32621,8155.25,7,1.4411165714263916,293589,0.293589,0.25,0.011073409497674653,0.028
58,SJER,3,0.25,32621,8155.25,8,1.5681354999542236,293589,0.293589,0.25,0.011073409497674653,0.028
59,SJER,3,0.25,32621,8155.25,9,1.4691779613494873,293589,0.293589,0.25,0.011073409497674653,0.028
60,SJER,3,0.5,32621,16310.5,0,1.4775238037109375,293589,0.293589,0.5,0.007830082946661267,0.028
61,SJER,3,0.5,32621,16310.5,1,1.3200206756591797,293589,0.293589,0.5,0.007830082946661267,0.028
62,SJER,3,0.5,32621,16310.5,2,1.398651123046875,293589,0.293589,0.5,0.007830082946661267,0.028
63,SJER,3,0.5,32621,16310.5,3,1.4378657341003418,293589,0.293589,0.5,0.007830082946661267,0.028
64,SJER,3,0.5,32621,16310.5,4,1.468306541442871,293589,0.293589,0.5,0.007830082946661267,0.028
65,SJER,3,0.5,32621,16310.5,5,1.5253949165344238,293589,0.293589,0.5,0.007830082946661267,0.028
66,SJER,3,0.5,32621,16310.5,6,1.4446892738342283,293589,0.293589,0.5,0.007830082946661267,0.028
67,SJER,3,0.5,32621,16310.5,7,1.453596591949463,293589,0.293589,0.5,0.007830082946661267,0.028
68,SJER,3,0.5,32621,16310.5,8,1.4181029796600342,293589,0.293589,0.5,0.007830082946661267,0.028
69,SJER,3,0.5,32621,16310.5,9,1.4103288650512695,293589,0.293589,0.5,0.007830082946661267,0.028
70,SJER,3,1.0,32621,32621.0,0,2.6573071479797363,293589,0.293589,1.0,0.005536704748837326,0.028
71,SJER,3,1.0,32621,32621.0,1,2.443270444869995,293589,0.293589,1.0,0.005536704748837326,0.028
72,SJER,3,1.0,32621,32621.0,2,2.334174394607544,293589,0.293589,1.0,0.005536704748837326,0.028
73,SJER,3,1.0,32621,32621.0,3,2.5427186489105225,293589,0.293589,1.0,0.005536704748837326,0.028
74,SJER,3,1.0,32621,32621.0,4,2.549402475357056,293589,0.293589,1.0,0.005536704748837326,0.028
