site_name,resolution,scalar,cells,particles,run_n,run_time
clay-center,2,0.25,121508,30377.0,0,11.503556489944458
clay-center,2,0.25,121508,30377.0,1,11.23298716545105
clay-center,2,0.25,121508,30377.0,2,11.708482027053833
clay-center,2,0.25,121508,30377.0,3,11.017526626586914
clay-center,2,0.25,121508,30377.0,4,13.764120101928711
clay-center,2,0.25,121508,30377.0,5,12.401511907577515
clay-center,2,0.25,121508,30377.0,6,13.31658387184143
clay-center,2,0.25,121508,30377.0,7,11.623703956604004
clay-center,2,0.25,121508,30377.0,8,11.793127536773682
clay-center,2,0.25,121508,30377.0,9,13.342689752578735
clay-center,2,0.5,121508,60754.0,0,11.337160348892212
clay-center,2,0.5,121508,60754.0,1,12.20763349533081
clay-center,2,0.5,121508,60754.0,2,11.123178958892822
clay-center,2,0.5,121508,60754.0,3,12.082190036773682
clay-center,2,0.5,121508,60754.0,4,12.112855434417725
clay-center,2,0.5,121508,60754.0,5,12.271631002426147
clay-center,2,0.5,121508,60754.0,6,12.737824440002441
clay-center,2,0.5,121508,60754.0,7,11.342162132263184
clay-center,2,0.5,121508,60754.0,8,12.584072589874268
clay-center,2,0.5,121508,60754.0,9,12.334794759750366
clay-center,2,1,121508,121508,0,26.225327014923096
clay-center,2,1,121508,121508,1,22.15551471710205
clay-center,2,1,121508,121508,2,22.52945065498352
clay-center,2,1,121508,121508,3,24.8689067363739
clay-center,2,1,121508,121508,4,22.96680235862732
clay-center,2,1,121508,121508,5,26.36707329750061
clay-center,2,1,121508,121508,6,21.946677684783936
clay-center,2,1,121508,121508,7,26.619746685028076
clay-center,2,1,121508,121508,8,29.3454692363739
clay-center,2,1,121508,121508,9,29.91903257369995
clay-center,2,2,121508,243016,0,36.59675979614258
clay-center,2,2,121508,243016,1,37.542137145996094
clay-center,2,2,121508,243016,2,32.775264263153076
clay-center,2,2,121508,243016,3,35.50817012786865
clay-center,2,2,121508,243016,4,43.12749004364014
clay-center,2,2,121508,243016,5,34.54846477508545
clay-center,2,2,121508,243016,6,38.35022234916687
clay-center,2,2,121508,243016,7,35.308809757232666
clay-center,2,2,121508,243016,8,37.354379177093506
clay-center,2,2,121508,243016,9,36.401010274887085
clay-center,2,4,121508,486032,0,58.84903383255005
clay-center,2,4,121508,486032,1,57.73629426956177
clay-center,2,4,121508,486032,2,51.35594654083252
clay-center,2,4,121508,486032,3,61.463969230651855
clay-center,2,4,121508,486032,4,72.73259830474854
clay-center,2,4,121508,486032,5,57.19046998023987
