,init.walk,maxwalk,remaining walkers,duration (sec.),mean man,mean infil,Location,map_name,Cells,Min Depth (m),Max Depth (m),Seed,Resolution (m),scalar_str,Particle Scalar,Number of iterations (cells),Mean flow velocity (m/s),Time Step (s),Time at Step (s),Time at Step (min),Mean Source Rate (Rain Fall Excess) (m/s),Compute Time (s),particles,Particle Density
9,201570,50397,26175,7200,0.232658,0.0,clay-center,depth_1_025_1.100,468969,0.00038666639011353254,0.9066198468208313,1,1,025,0.25,5988,0.846637,0.295286,1768.172568,29.4695428,5.974431e-06,103.05328392982484,50397.25,0.25
10,201570,50397,14609,7200,0.232658,0.0,clay-center,depth_1_025_1.110,468969,0.00038666639011353254,0.9194234013557434,1,1,025,0.25,6587,0.846637,0.295286,1945.048882,32.41748136666667,5.974431e-06,103.05328392982484,50397.25,0.25
11,201570,50397,7807,7200,0.232658,0.0,clay-center,depth_1_025_1.120,468969,0.00038666639011353254,0.9262227416038513,1,1,025,0.25,7186,0.846637,0.295286,2121.925196,35.365419933333335,5.974431e-06,103.05328392982484,50397.25,0.25
0,201570,50397,191940,7200,0.232658,0.0,clay-center,depth_1_025_2.010,468969,0.00038666639011353254,0.460613489151001,2,1,025,0.25,598,0.846637,0.295286,176.581028,2.9430171333333335,5.974431e-06,103.3997848033905,50397.25,0.25
1,201570,50397,184405,7200,0.232658,0.0,clay-center,depth_1_025_2.020,468969,0.00038666639011353254,0.5304819941520691,2,1,025,0.25,1197,0.846637,0.295286,353.457342,5.8909557,5.974431e-06,103.3997848033905,50397.25,0.25
2,201570,50397,160027,7200,0.232658,0.0,clay-center,depth_1_025_2.030,468969,0.00038666639011353254,0.5845580101013184,2,1,025,0.25,1796,0.846637,0.295286,530.333656,8.838894266666667,5.974431e-06,103.3997848033905,50397.25,0.25
3,201570,50397,137559,7200,0.232658,0.0,clay-center,depth_1_025_2.040,468969,0.00038666639011353254,0.6370818018913269,2,1,025,0.25,2395,0.846637,0.295286,707.20997,11.786832833333333,5.974431e-06,103.3997848033905,50397.25,0.25
4,201570,50397,120393,7200,0.232658,0.0,clay-center,depth_1_025_2.050,468969,0.00038666639011353254,0.6891759634017944,2,1,025,0.25,2994,0.846637,0.295286,884.086284,14.7347714,5.974431e-06,103.3997848033905,50397.25,0.25
5,201570,50397,103389,7200,0.232658,0.0,clay-center,depth_1_025_2.060,468969,0.00038666639011353254,0.742965042591095,2,1,025,0.25,3593,0.846637,0.295286,1060.962598,17.682709966666668,5.974431e-06,103.3997848033905,50397.25,0.25
6,201570,50397,84958,7200,0.232658,0.0,clay-center,depth_1_025_2.070,468969,0.00038666639011353254,0.7980859279632568,2,1,025,0.25,4191,0.846637,0.295286,1237.543626,20.6257271,5.974431e-06,103.3997848033905,50397.25,0.25
7,201570,50397,64127,7200,0.232658,0.0,clay-center,depth_1_025_2.080,468969,0.00038666639011353254,0.8462181687355042,2,1,025,0.25,4790,0.846637,0.295286,1414.41994,23.573665666666667,5.974431e-06,103.3997848033905,50397.25,0.25
8,201570,50397,43419,7200,0.232658,0.0,clay-center,depth_1_025_2.090,468969,0.00038666639011353254,0.8810267448425293,2,1,025,0.25,5389,0.846637,0.295286,1591.2962539999999,26.52160423333333,5.974431e-06,103.3997848033905,50397.25,0.25
9,201570,50397,26238,7200,0.232658,0.0,clay-center,depth_1_025_2.100,468969,0.00038666639011353254,0.9033743739128113,2,1,025,0.25,5988,0.846637,0.295286,1768.172568,29.4695428,5.974431e-06,103.3997848033905,50397.25,0.25
10,201570,50397,14616,7200,0.232658,0.0,clay-center,depth_1_025_2.110,468969,0.00038666639011353254,0.9164092540740967,2,1,025,0.25,6587,0.846637,0.295286,1945.048882,32.41748136666667,5.974431e-06,103.3997848033905,50397.25,0.25
11,201570,50397,7788,7200,0.232658,0.0,clay-center,depth_1_025_2.120,468969,0.00038666639011353254,0.9231454730033875,2,1,025,0.25,7186,0.846637,0.295286,2121.925196,35.365419933333335,5.974431e-06,103.3997848033905,50397.25,0.25
0,201570,50397,192024,7200,0.232658,0.0,clay-center,depth_1_025_3.010,468969,0.00038666639011353254,0.46015915274620056,3,1,025,0.25,598,0.846637,0.295286,176.581028,2.9430171333333335,5.974431e-06,103.03342175483704,50397.25,0.25
1,201570,50397,184580,7200,0.232658,0.0,clay-center,depth_1_025_3.020,468969,0.00038666639011353254,0.5310943126678467,3,1,025,0.25,1197,0.846637,0.295286,353.457342,5.8909557,5.974431e-06,103.03342175483704,50397.25,0.25
2,201570,50397,160388,7200,0.232658,0.0,clay-center,depth_1_025_3.030,468969,0.00038666639011353254,0.5853748321533203,3,1,025,0.25,1796,0.846637,0.295286,530.333656,8.838894266666667,5.974431e-06,103.03342175483704,50397.25,0.25
3,201570,50397,137578,7200,0.232658,0.0,clay-center,depth_1_025_3.040,468969,0.00038666639011353254,0.6371084451675415,3,1,025,0.25,2395,0.846637,0.295286,707.20997,11.786832833333333,5.974431e-06,103.03342175483704,50397.25,0.25
4,201570,50397,120108,7200,0.232658,0.0,clay-center,depth_1_025_3.050,468969,0.00038666639011353254,0.6886013746261597,3,1,025,0.25,2994,0.846637,0.295286,884.086284,14.7347714,5.974431e-06,103.03342175483704,50397.25,0.25
5,201570,50397,103405,7200,0.232658,0.0,clay-center,depth_1_025_3.060,468969,0.00038666639011353254,0.7423374056816101,3,1,025,0.25,3593,0.846637,0.295286,1060.962598,17.682709966666668,5.974431e-06,103.03342175483704,50397.25,0.25
