site_name,resolution,scalar,cells,particles,run_n,run_time
coweeta,3,0.25,6334799,1583699.75,0,8237.878432273865
coweeta,3,0.25,6334799,1583699.75,1,8488.848878622055
coweeta,3,0.25,6334799,1583699.75,2,8142.068834781647
coweeta,3,0.25,6334799,1583699.75,3,7878.81761264801
coweeta,3,0.25,6334799,1583699.75,4,8271.407051801682
coweeta,3,0.25,6334799,1583699.75,5,7772.086837053299
coweeta,3,0.25,6334799,1583699.75,6,7938.294378042221
coweeta,3,0.25,6334799,1583699.75,7,8383.885776042938
coweeta,3,0.25,6334799,1583699.75,8,7858.5479238033295
coweeta,3,0.25,6334799,1583699.75,9,7820.8700494766235
coweeta,3,0.5,6334799,3167399.5,0,13994.326632738113
coweeta,3,0.5,6334799,3167399.5,1,13961.792613267899
coweeta,3,0.5,6334799,3167399.5,2,12635.420485258102
coweeta,3,0.5,6334799,3167399.5,3,362998.3719739914
coweeta,3,0.5,6334799,3167399.5,4,13356.882772445679
coweeta,3,0.5,6334799,3167399.5,5,13653.842515230179
coweeta,3,0.5,6334799,3167399.5,6,13828.204724311829
coweeta,3,0.5,6334799,3167399.5,7,12940.777693271637
coweeta,3,0.5,6334799,3167399.5,8,12974.842315196991
coweeta,3,0.5,6334799,3167399.5,9,14345.59040427208
