site_name,resolution,scalar,cells,particles,run_n,run_time
clay-center,1,0.25,1524591,381147.75,0,551.666216135025
clay-center,1,0.25,1524591,381147.75,1,542.7411563396454
clay-center,1,0.25,1524591,381147.75,2,548.2391438484192
clay-center,1,0.25,1524591,381147.75,3,521.6466009616852
clay-center,1,0.25,1524591,381147.75,4,533.9690911769867
clay-center,1,0.25,1524591,381147.75,5,540.0517189502716
clay-center,1,0.25,1524591,381147.75,6,549.4920017719269
clay-center,1,0.25,1524591,381147.75,7,528.4951736927032
clay-center,1,0.25,1524591,381147.75,8,563.4046001434326
clay-center,1,0.25,1524591,381147.75,9,541.6600186824799
clay-center,1,0.5,1524591,762295.5,0,521.7158274650574
clay-center,1,0.5,1524591,762295.5,1,549.4324381351471
clay-center,1,0.5,1524591,762295.5,2,518.6475737094879
clay-center,1,0.5,1524591,762295.5,3,540.8787171840668
clay-center,1,0.5,1524591,762295.5,4,535.3271298408508
clay-center,1,0.5,1524591,762295.5,5,573.855286359787
clay-center,1,0.5,1524591,762295.5,6,548.084673166275
clay-center,1,0.5,1524591,762295.5,7,547.1486387252808
clay-center,1,0.5,1524591,762295.5,8,535.0402925014496
clay-center,1,0.5,1524591,762295.5,9,524.2833044528961
clay-center,1,1,1524591,1524591,0,1027.676364183426
clay-center,1,1,1524591,1524591,1,1077.247816324234
clay-center,1,1,1524591,1524591,2,1024.09960770607
clay-center,1,1,1524591,1524591,3,1117.0007345676422
clay-center,1,1,1524591,1524591,4,1059.5363490581512
clay-center,1,1,1524591,1524591,5,1055.4146597385406
clay-center,1,1,1524591,1524591,6,1029.3601396083832
clay-center,1,1,1524591,1524591,7,1024.0953454971313
clay-center,1,1,1524591,1524591,8,1020.7983224391937
clay-center,1,1,1524591,1524591,9,1062.3578310012817
clay-center,1,2,1524591,3049182,0,1597.2993774414062
clay-center,1,2,1524591,3049182,1,1570.3623061180115
clay-center,1,2,1524591,3049182,2,1525.605463027954
clay-center,1,2,1524591,3049182,3,1562.1587941646576
