,n,null_cells,cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,first_quartile,median,third_quartile,percentiles,run_time,particles,area_km2,resolution,scalar,minute,stat_type,ars,error,run_id,normalized_error,p_density
4,1519531,81705,1601236,0.0,1.1249626874923706,1.1249626874923706,0.018726082759593803,0.018726082759593803,0.05111268978142738,0.0026125070566924303,272.9491823656561,28454.863261768332,0.004068183712661266,0.006544439122080803,0.010863694362342358,"[{'percentile': 90, 'value': 0.02548897173255682}]",542.1365721702575,381147.75,1.524591,1,025,25,median,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
5,1519531,81705,1601236,0.0,1.3367858529090881,1.3367858529090881,0.02043668260152942,0.02043668260152942,0.05680842945619076,0.003227197657279002,277.97285187537915,31054.172750184604,0.00411243480630219,0.0066145602613687515,0.011088071390986443,"[{'percentile': 90, 'value': 0.027600579895079136}]",542.1365721702575,381147.75,1.524591,1,025,30,median,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
0,1519531,81705,1601236,0.0,0.4188694357872009,0.4188694357872009,0.008960694735731703,0.008960694735731703,0.017337682740548463,0.00030059524281191203,193.48592103481272,13616.05343248113,0.002947139786556363,0.0051380847580730915,0.00841413252055645,"[{'percentile': 90, 'value': 0.015065493062138557}]",542.1365721702575,381147.75,1.524591,1,025,05,minimum,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
1,1519531,81705,1601236,0.0,0.510009765625,0.510009765625,0.011580138690908647,0.011580138690908647,0.02896177238384443,0.0008387842596136138,250.0986659735067,17596.379725135106,0.003006681567057967,0.005301872733980417,0.008882063440978527,"[{'percentile': 90, 'value': 0.017611196264624596}]",542.1365721702575,381147.75,1.524591,1,025,10,minimum,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
2,1519531,81705,1601236,0.0,0.6823827028274536,0.6823827028274536,0.013804749048222946,0.013804749048222946,0.03750955968011601,0.0014069670673961846,271.7148971639186,20976.74412599526,0.003065447323024273,0.00538251269608736,0.009194435551762581,"[{'percentile': 90, 'value': 0.019847756251692772}]",542.1365721702575,381147.75,1.524591,1,025,15,minimum,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
3,1519531,81705,1601236,0.0,0.8955534100532532,0.8955534100532532,0.015805604563663533,0.015805604563663533,0.04462671386722436,0.001991543590587115,282.347402071664,24017.10610822821,0.003123471513390541,0.005462354514747858,0.009472389705479145,"[{'percentile': 90, 'value': 0.021943122148513794}]",542.1365721702575,381147.75,1.524591,1,025,20,minimum,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
4,1519531,81705,1601236,0.0,1.1224428415298462,1.1224428415298462,0.017646426178973572,0.017646426178973572,0.05090221931038228,0.002591035930722255,288.45625054116806,26814.291618161893,0.003180785570293665,0.005541426129639149,0.009717977605760098,"[{'percentile': 90, 'value': 0.02404605783522129}]",542.1365721702575,381147.75,1.524591,1,025,25,minimum,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
5,1519531,81705,1601236,0.0,1.3341238498687744,1.3341238498687744,0.019350328922772428,0.019350328922772428,0.056600483836191096,0.0032036147704909298,292.50398823753756,29403.424658349308,0.003180785570293665,0.00561975222080946,0.009932853281497955,"[{'percentile': 90, 'value': 0.026144906878471375}]",542.1365721702575,381147.75,1.524591,1,025,30,minimum,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
0,1519531,81705,1601236,0.0,9.0,9.0,4.370734127832864,4.370734127832864,2.8719059018226427,8.247843508923726,65.70763212372785,6641466.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,05,min_raster,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
1,1519531,81705,1601236,0.0,9.0,9.0,4.376749141675951,4.376749141675951,2.872043159843038,8.248631912001182,65.62046548418974,6650606.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,10,min_raster,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
2,1519531,81705,1601236,0.0,9.0,9.0,4.378780031470237,4.378780031470237,2.8718802872869342,8.247696384507284,65.58631095069327,6653692.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,15,min_raster,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
3,1519531,81705,1601236,0.0,9.0,9.0,4.383606520696189,4.383606520696189,2.87245776814559,8.251013629779944,65.52727199815818,6661026.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,20,min_raster,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
4,1519531,81705,1601236,0.0,9.0,9.0,4.383723004005842,4.383723004005842,2.872068855021508,8.248779507984555,65.5166590680345,6661203.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,25,min_raster,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
5,1519531,81705,1601236,0.0,9.0,9.0,4.382770736496985,4.382770736496985,2.871685496253763,8.246577589394219,65.52214726497452,6659756.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,30,min_raster,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
0,1519531,81705,1601236,0.0004933581221848726,0.4201798141002655,0.41968645597808063,0.011043836768941192,0.011043836768941192,0.017827935142339085,0.0003178352714394489,161.42881785863543,16781.45232934598,0.0046684397384524345,0.007159280590713024,0.010687210597097874,"[{'percentile': 90, 'value': 0.017756419256329536}]",542.1365721702575,381147.75,1.524591,1,025,05,maximum,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
1,1519531,81705,1601236,0.0004933581221848726,0.512349545955658,0.5118561878334731,0.013700549028433382,0.013700549028433382,0.029433208254066912,0.0008663137481272727,214.83232674094168,20818.408965724404,0.004756114445626736,0.007291154004633427,0.011162703856825829,"[{'percentile': 90, 'value': 0.020364344120025635}]",542.1365721702575,381147.75,1.524591,1,025,10,maximum,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
2,1519531,81705,1601236,0.0004933581221848726,0.684800922870636,0.6843075647484511,0.01594839655286149,0.01594839655286149,0.0379574857395675,0.0014407707236694701,238.0018932546363,24234.08296236617,0.004842724651098251,0.007389024365693331,0.011504591442644596,"[{'percentile': 90, 'value': 0.022689277306199074}]",542.1365721702575,381147.75,1.524591,1,025,15,maximum,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
3,1519531,81705,1601236,0.0004933581221848726,0.8976418375968933,0.8971484794747084,0.017967212348349887,0.017967212348349887,0.04505910566533369,0.002030323003359707,250.78517909024396,27301.736146900454,0.004928314592689276,0.007486038375645876,0.011768532916903496,"[{'percentile': 90, 'value': 0.02482161857187748}]",542.1365721702575,381147.75,1.524591,1,025,20,maximum,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
4,1519531,81705,1601236,0.0004933581221848726,1.1267586946487427,1.1262653365265578,0.019823821594517895,0.019823821594517895,0.051325308984816104,0.0026342873423868445,258.9072381432734,30122.911451339372,0.004970739129930735,0.007582221180200577,0.012028586119413376,"[{'percentile': 90, 'value': 0.026975391432642937}]",542.1365721702575,381147.75,1.524591,1,025,25,maximum,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
5,1519531,81705,1601236,0.0004933581221848726,1.3388135433197021,1.3383201851975173,0.02154099452322028,0.02154099452322028,0.05701836093058975,0.003251093483211004,264.6969751982731,32732.208948863437,0.005012924317270517,0.0076458933763206005,0.012261786498129368,"[{'percentile': 90, 'value': 0.02915036492049694}]",542.1365721702575,381147.75,1.524591,1,025,30,maximum,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
0,1519531,81705,1601236,0.0,9.0,9.0,4.404603130834448,4.404603130834448,2.87265286501931,8.25213448290365,65.21933485696562,6692931.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,05,max_raster,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
1,1519531,81705,1601236,0.0,9.0,9.0,4.406452385637411,4.406452385637411,2.874039093901224,8.26010071327257,65.22342334320908,6695741.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,10,max_raster,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
2,1519531,81705,1601236,0.0,9.0,9.0,4.409079512033647,4.409079512033647,2.8747786499259433,8.264352286070029,65.20133379495302,6699733.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,15,max_raster,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
3,1519531,81705,1601236,0.0,9.0,9.0,4.410615512286356,4.410615512286356,2.874195852671515,8.261001799514137,65.16541386718157,6702067.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,20,max_raster,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
4,1519531,81705,1601236,0.0,9.0,9.0,4.41216335829937,4.41216335829937,2.874926489838583,8.265202321975595,65.1591125797912,6704419.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,25,max_raster,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
5,1519531,81705,1601236,0.0,9.0,9.0,4.413055738908914,4.413055738908914,2.8763292483217957,8.273269944751426,65.1777230675301,6705775.0,2.0,4.0,7.0,"[{'percentile': 90, 'value': 8}]",542.1365721702575,381147.75,1.524591,1,025,30,max_raster,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
0,1519531,81705,1601236,8.601249694941787e-05,0.004855135487618144,0.004769122990668726,0.0006250843394258459,0.0006250843394258459,0.00026182680693305976,6.855327682876176e-08,41.88663679745258,949.835031372095,0.0004562457692953896,0.000580379184553238,0.000735136419716556,"[{'percentile': 90, 'value': 0.0009198372288838565}]",542.1365721702575,381147.75,1.524591,1,025,05,stddev,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
