,site_name,resolution,scalar,cells,particles,run_n,run_time,area_m2,area_km2,p_density,error,tri
46,clay-center,1,4.0,1524591,6098364.0,6,5361.716698169708,1524591,1.524591,4.0,0.00040494247085236023,0.028
47,clay-center,1,4.0,1524591,6098364.0,7,5425.375957250595,1524591,1.524591,4.0,0.00040494247085236023,0.028
48,clay-center,1,4.0,1524591,6098364.0,8,5203.11115193367,1524591,1.524591,4.0,0.00040494247085236023,0.028
49,clay-center,1,4.0,1524591,6098364.0,9,5421.538283109665,1524591,1.524591,4.0,0.00040494247085236023,0.028
50,clay-center,3,0.25,169399,42349.75,0,19.85007071495056,1524591,1.524591,0.25,0.0048593096502283235,0.028
51,clay-center,3,0.25,169399,42349.75,1,20.05415892601013,1524591,1.524591,0.25,0.0048593096502283235,0.028
52,clay-center,3,0.25,169399,42349.75,2,20.822214126586918,1524591,1.524591,0.25,0.0048593096502283235,0.028
53,clay-center,3,0.25,169399,42349.75,3,20.63798141479492,1524591,1.524591,0.25,0.0048593096502283235,0.028
54,clay-center,3,0.25,169399,42349.75,4,21.685949087142944,1524591,1.524591,0.25,0.0048593096502283235,0.028
55,clay-center,3,0.25,169399,42349.75,5,21.80909538269043,1524591,1.524591,0.25,0.0048593096502283235,0.028
56,clay-center,3,0.25,169399,42349.75,6,19.95198941230774,1524591,1.524591,0.25,0.0048593096502283235,0.028
57,clay-center,3,0.25,169399,42349.75,7,20.926368713378903,1524591,1.524591,0.25,0.0048593096502283235,0.028
58,clay-center,3,0.25,169399,42349.75,8,19.73695278167725,1524591,1.524591,0.25,0.0048593096502283235,0.028
59,clay-center,3,0.25,169399,42349.75,9,21.023637771606445,1524591,1.524591,0.25,0.0048593096502283235,0.028
60,clay-center,3,0.5,169399,84699.5,0,19.10609340667725,1524591,1.524591,0.5,0.003436050805561677,0.028
61,clay-center,3,0.5,169399,84699.5,1,20.918163776397705,1524591,1.524591,0.5,0.003436050805561677,0.028
62,clay-center,3,0.5,169399,84699.5,2,22.314855813980103,1524591,1.524591,0.5,0.003436050805561677,0.028
63,clay-center,3,0.5,169399,84699.5,3,19.625186443328857,1524591,1.524591,0.5,0.003436050805561677,0.028
64,clay-center,3,0.5,169399,84699.5,4,20.40839886665344,1524591,1.524591,0.5,0.003436050805561677,0.028
65,clay-center,3,0.5,169399,84699.5,5,21.160987377166748,1524591,1.524591,0.5,0.003436050805561677,0.028
66,clay-center,3,0.5,169399,84699.5,6,21.49468731880188,1524591,1.524591,0.5,0.003436050805561677,0.028
67,clay-center,3,0.5,169399,84699.5,7,19.92148303985596,1524591,1.524591,0.5,0.003436050805561677,0.028
68,clay-center,3,0.5,169399,84699.5,8,20.9647159576416,1524591,1.524591,0.5,0.003436050805561677,0.028
69,clay-center,3,0.5,169399,84699.5,9,21.181482791900635,1524591,1.524591,0.5,0.003436050805561677,0.028
70,clay-center,3,1.0,169399,169399.0,0,41.84955430030823,1524591,1.524591,1.0,0.0024296548251141617,0.028
71,clay-center,3,1.0,169399,169399.0,1,41.97479772567749,1524591,1.524591,1.0,0.0024296548251141617,0.028
72,clay-center,3,1.0,169399,169399.0,2,40.49956035614014,1524591,1.524591,1.0,0.0024296548251141617,0.028
73,clay-center,3,1.0,169399,169399.0,3,40.35399627685547,1524591,1.524591,1.0,0.0024296548251141617,0.028
74,clay-center,3,1.0,169399,169399.0,4,41.57803988456726,1524591,1.524591,1.0,0.0024296548251141617,0.028
75,clay-center,3,1.0,169399,169399.0,5,43.6755588054657,1524591,1.524591,1.0,0.0024296548251141617,0.028
76,clay-center,3,1.0,169399,169399.0,6,43.69986391067505,1524591,1.524591,1.0,0.0024296548251141617,0.028
77,clay-center,3,1.0,169399,169399.0,7,41.74178957939148,1524591,1.524591,1.0,0.0024296548251141617,0.028
78,clay-center,3,1.0,169399,169399.0,8,41.47704315185547,1524591,1.524591,1.0,0.0024296548251141617,0.028
79,clay-center,3,1.0,169399,169399.0,9,42.11662817001343,1524591,1.524591,1.0,0.0024296548251141617,0.028
80,clay-center,3,2.0,169399,338798.0,0,56.3695604801178,1524591,1.524591,2.0,0.0017180254027808386,0.028
81,clay-center,3,2.0,169399,338798.0,1,60.36605381965637,1524591,1.524591,2.0,0.0017180254027808386,0.028
82,clay-center,3,2.0,169399,338798.0,2,64.17821598052979,1524591,1.524591,2.0,0.0017180254027808386,0.028
83,clay-center,3,2.0,169399,338798.0,3,63.30313539505005,1524591,1.524591,2.0,0.0017180254027808386,0.028
84,clay-center,3,2.0,169399,338798.0,4,63.23666286468506,1524591,1.524591,2.0,0.0017180254027808386,0.028
85,clay-center,3,2.0,169399,338798.0,5,61.77727508544922,1524591,1.524591,2.0,0.0017180254027808386,0.028
86,clay-center,3,2.0,169399,338798.0,6,63.34128475189209,1524591,1.524591,2.0,0.0017180254027808386,0.028
87,clay-center,3,2.0,169399,338798.0,7,60.45897626876831,1524591,1.524591,2.0,0.0017180254027808386,0.028
88,clay-center,3,2.0,169399,338798.0,8,63.649290561676025,1524591,1.524591,2.0,0.0017180254027808386,0.028
89,clay-center,3,2.0,169399,338798.0,9,60.02073407173157,1524591,1.524591,2.0,0.0017180254027808386,0.028
90,clay-center,3,4.0,169399,677596.0,0,99.28423166275024,1524591,1.524591,4.0,0.0012148274125570809,0.028
91,clay-center,3,4.0,169399,677596.0,1,99.24073910713196,1524591,1.524591,4.0,0.0012148274125570809,0.028
92,clay-center,3,4.0,169399,677596.0,2,101.4904305934906,1524591,1.524591,4.0,0.0012148274125570809,0.028
93,clay-center,3,4.0,169399,677596.0,3,99.853844165802,1524591,1.524591,4.0,0.0012148274125570809,0.028
94,clay-center,3,4.0,169399,677596.0,4,98.98833966255188,1524591,1.524591,4.0,0.0012148274125570809,0.028
95,clay-center,3,4.0,169399,677596.0,5,97.06719017028809,1524591,1.524591,4.0,0.0012148274125570809,0.028
96,clay-center,3,4.0,169399,677596.0,6,105.73431444168092,1524591,1.524591,4.0,0.0012148274125570809,0.028
97,clay-center,3,4.0,169399,677596.0,7,96.88514971733092,1524591,1.524591,4.0,0.0012148274125570809,0.028
98,clay-center,3,4.0,169399,677596.0,8,100.49833106994627,1524591,1.524591,4.0,0.0012148274125570809,0.028
99,clay-center,3,4.0,169399,677596.0,9,97.09240293502808,1524591,1.524591,4.0,0.0012148274125570809,0.028
100,clay-center,5,0.25,60989,15247.25,0,4.524087190628052,1524725,1.524725,0.25,0.00809849352674992,0.028
101,clay-center,5,0.25,60989,15247.25,1,4.408606052398682,1524725,1.524725,0.25,0.00809849352674992,0.028
102,clay-center,5,0.25,60989,15247.25,2,4.173337936401367,1524725,1.524725,0.25,0.00809849352674992,0.028
103,clay-center,5,0.25,60989,15247.25,3,4.278069972991943,1524725,1.524725,0.25,0.00809849352674992,0.028
104,clay-center,5,0.25,60989,15247.25,4,4.242895603179932,1524725,1.524725,0.25,0.00809849352674992,0.028
105,clay-center,5,0.25,60989,15247.25,5,4.307268381118774,1524725,1.524725,0.25,0.00809849352674992,0.028
106,clay-center,5,0.25,60989,15247.25,6,4.04441237449646,1524725,1.524725,0.25,0.00809849352674992,0.028
107,clay-center,5,0.25,60989,15247.25,7,4.174983263015747,1524725,1.524725,0.25,0.00809849352674992,0.028
108,clay-center,5,0.25,60989,15247.25,8,4.158679485321045,1524725,1.524725,0.25,0.00809849352674992,0.028
109,clay-center,5,0.25,60989,15247.25,9,4.2050182819366455,1524725,1.524725,0.25,0.00809849352674992,0.028
110,clay-center,5,0.5,60989,30494.5,0,4.014418840408325,1524725,1.524725,0.5,0.005726499690160226,0.028
111,clay-center,5,0.5,60989,30494.5,1,4.132035255432129,1524725,1.524725,0.5,0.005726499690160226,0.028
112,clay-center,5,0.5,60989,30494.5,2,4.37192702293396,1524725,1.524725,0.5,0.005726499690160226,0.028
113,clay-center,5,0.5,60989,30494.5,3,4.106023550033569,1524725,1.524725,0.5,0.005726499690160226,0.028
114,clay-center,5,0.5,60989,30494.5,4,4.341569423675537,1524725,1.524725,0.5,0.005726499690160226,0.028
115,clay-center,5,0.5,60989,30494.5,5,4.129306554794312,1524725,1.524725,0.5,0.005726499690160226,0.028
116,clay-center,5,0.5,60989,30494.5,6,4.018226146697998,1524725,1.524725,0.5,0.005726499690160226,0.028
117,clay-center,5,0.5,60989,30494.5,7,4.29720664024353,1524725,1.524725,0.5,0.005726499690160226,0.028
118,clay-center,5,0.5,60989,30494.5,8,4.087061166763306,1524725,1.524725,0.5,0.005726499690160226,0.028
119,clay-center,5,0.5,60989,30494.5,9,4.138099193572998,1524725,1.524725,0.5,0.005726499690160226,0.028
120,clay-center,5,1.0,60989,60989.0,0,8.279159784317017,1524725,1.524725,1.0,0.00404924676337496,0.028
121,clay-center,5,1.0,60989,60989.0,1,7.783502101898193,1524725,1.524725,1.0,0.00404924676337496,0.028
122,clay-center,5,1.0,60989,60989.0,2,8.19489336013794,1524725,1.524725,1.0,0.00404924676337496,0.028
123,clay-center,5,1.0,60989,60989.0,3,7.794536113739014,1524725,1.524725,1.0,0.00404924676337496,0.028
124,clay-center,5,1.0,60989,60989.0,4,8.060229539871216,1524725,1.524725,1.0,0.00404924676337496,0.028
125,clay-center,5,1.0,60989,60989.0,5,8.302141189575195,1524725,1.524725,1.0,0.00404924676337496,0.028
126,clay-center,5,1.0,60989,60989.0,6,8.029851913452148,1524725,1.524725,1.0,0.00404924676337496,0.028
127,clay-center,5,1.0,60989,60989.0,7,7.809619665145874,1524725,1.524725,1.0,0.00404924676337496,0.028
128,clay-center,5,1.0,60989,60989.0,8,8.1389799118042,1524725,1.524725,1.0,0.00404924676337496,0.028
129,clay-center,5,1.0,60989,60989.0,9,7.767886638641357,1524725,1.524725,1.0,0.00404924676337496,0.028
130,clay-center,5,2.0,60989,121978.0,0,12.763869524002075,1524725,1.524725,2.0,0.002863249845080113,0.028
131,clay-center,5,2.0,60989,121978.0,1,12.47251033782959,1524725,1.524725,2.0,0.002863249845080113,0.028
132,clay-center,5,2.0,60989,121978.0,2,12.121083974838257,1524725,1.524725,2.0,0.002863249845080113,0.028
133,clay-center,5,2.0,60989,121978.0,3,13.025954008102415,1524725,1.524725,2.0,0.002863249845080113,0.028
134,clay-center,5,2.0,60989,121978.0,4,12.924519062042236,1524725,1.524725,2.0,0.002863249845080113,0.028
135,clay-center,5,2.0,60989,121978.0,5,12.9285089969635,1524725,1.524725,2.0,0.002863249845080113,0.028
136,clay-center,5,2.0,60989,121978.0,6,13.216139316558838,1524725,1.524725,2.0,0.002863249845080113,0.028
137,clay-center,5,2.0,60989,121978.0,7,13.141647100448608,1524725,1.524725,2.0,0.002863249845080113,0.028
138,clay-center,5,2.0,60989,121978.0,8,11.883945941925049,1524725,1.524725,2.0,0.002863249845080113,0.028
139,clay-center,5,2.0,60989,121978.0,9,12.838758707046509,1524725,1.524725,2.0,0.002863249845080113,0.028
140,clay-center,5,4.0,60989,243956.0,0,20.332194328308105,1524725,1.524725,4.0,0.00202462338168748,0.028
141,clay-center,5,4.0,60989,243956.0,1,21.539992332458496,1524725,1.524725,4.0,0.00202462338168748,0.028
142,clay-center,5,4.0,60989,243956.0,2,20.96966123580933,1524725,1.524725,4.0,0.00202462338168748,0.028
143,clay-center,5,4.0,60989,243956.0,3,20.93567132949829,1524725,1.524725,4.0,0.00202462338168748,0.028
144,clay-center,5,4.0,60989,243956.0,4,20.27779984474182,1524725,1.524725,4.0,0.00202462338168748,0.028
145,clay-center,5,4.0,60989,243956.0,5,20.9083251953125,1524725,1.524725,4.0,0.00202462338168748,0.028
146,clay-center,5,4.0,60989,243956.0,6,19.966742515563965,1524725,1.524725,4.0,0.00202462338168748,0.028
147,clay-center,5,4.0,60989,243956.0,7,20.19866514205933,1524725,1.524725,4.0,0.00202462338168748,0.028
148,clay-center,5,4.0,60989,243956.0,8,22.016711235046387,1524725,1.524725,4.0,0.00202462338168748,0.028
149,clay-center,5,4.0,60989,243956.0,9,22.19755983352661,1524725,1.524725,4.0,0.00202462338168748,0.028
150,clay-center,10,0.25,15242,3810.5,0,0.7032184600830078,1524200,1.5242,0.25,0.016199776282634294,0.028
151,clay-center,10,0.25,15242,3810.5,1,0.6347005367279053,1524200,1.5242,0.25,0.016199776282634294,0.028
152,clay-center,10,0.25,15242,3810.5,2,0.6536822319030762,1524200,1.5242,0.25,0.016199776282634294,0.028
153,clay-center,10,0.25,15242,3810.5,3,0.644463062286377,1524200,1.5242,0.25,0.016199776282634294,0.028
154,clay-center,10,0.25,15242,3810.5,4,0.6578807830810547,1524200,1.5242,0.25,0.016199776282634294,0.028
155,clay-center,10,0.25,15242,3810.5,5,0.6601250171661377,1524200,1.5242,0.25,0.016199776282634294,0.028
156,clay-center,10,0.25,15242,3810.5,6,0.6478846073150635,1524200,1.5242,0.25,0.016199776282634294,0.028
157,clay-center,10,0.25,15242,3810.5,7,0.7267332077026367,1524200,1.5242,0.25,0.016199776282634294,0.028
158,clay-center,10,0.25,15242,3810.5,8,0.6514594554901123,1524200,1.5242,0.25,0.016199776282634294,0.028
159,clay-center,10,0.25,15242,3810.5,9,0.6108911037445068,1524200,1.5242,0.25,0.016199776282634294,0.028
160,clay-center,10,0.5,15242,7621.0,0,0.6237599849700928,1524200,1.5242,0.5,0.01145497166315571,0.028
161,clay-center,10,0.5,15242,7621.0,1,0.6272714138031006,1524200,1.5242,0.5,0.01145497166315571,0.028
162,clay-center,10,0.5,15242,7621.0,2,0.6240496635437012,1524200,1.5242,0.5,0.01145497166315571,0.028
163,clay-center,10,0.5,15242,7621.0,3,0.6490917205810547,1524200,1.5242,0.5,0.01145497166315571,0.028
164,clay-center,10,0.5,15242,7621.0,4,0.6024534702301025,1524200,1.5242,0.5,0.01145497166315571,0.028
165,clay-center,10,0.5,15242,7621.0,5,0.6410379409790039,1524200,1.5242,0.5,0.01145497166315571,0.028
166,clay-center,10,0.5,15242,7621.0,6,0.7289454936981201,1524200,1.5242,0.5,0.01145497166315571,0.028
